2025-06-23 23:36:05.679455 - System Idle Process, PID: 0, User: NT AUTHORITY\SYSTEM
2025-06-23 23:36:06.860305 - ctfmon.exe, PID: 17532, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.860560 - msedgewebview2.exe, PID: 17776, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.867114 - svchost.exe, PID: 17852, User: None
2025-06-23 23:36:06.867569 - ApplicationFrameHost.exe, PID: 17908, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.873639 - svchost.exe, PID: 17920, User: None
2025-06-23 23:36:06.874051 - ISA SMAART HUB.exe, PID: 17980, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.874279 - PGSystemTray.exe, PID: 18220, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.874536 - msedgewebview2.exe, PID: 18256, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.874775 - SCNotification.exe, PID: 18340, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.874984 - RtkAudUService64.exe, PID: 18736, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.875225 - Code.exe, PID: 18892, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.875434 - msedgewebview2.exe, PID: 18912, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.875667 - Microsoft.SharePoint.exe, PID: 19016, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.875869 - ms-teams.exe, PID: 19036, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.882067 - svchost.exe, PID: 19068, User: None
2025-06-23 23:36:06.882462 - SecurityHealthSystray.exe, PID: 19176, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.882769 - msedge.exe, PID: 19332, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.888257 - TaniumCX.exe, PID: 19396, User: None
2025-06-23 23:36:06.888588 - msedgewebview2.exe, PID: 19584, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.888780 - msedgewebview2.exe, PID: 19588, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.888964 - conhost.exe, PID: 19692, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.894196 - kvoop.exe, PID: 19696, User: None
2025-06-23 23:36:06.894527 - msedgewebview2.exe, PID: 19764, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.894724 - msedge.exe, PID: 19940, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.894909 - nxthostapp.exe, PID: 19960, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.895129 - SnippingTool.exe, PID: 20028, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.895314 - msedgewebview2.exe, PID: 20032, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.895489 - msedgewebview2.exe, PID: 20044, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.895775 - svchost.exe, PID: 20080, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.895969 - svchost.exe, PID: 20156, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.896173 - CrossDeviceService.exe, PID: 20292, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.896374 - Code.exe, PID: 20296, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.896583 - SystemSettings.exe, PID: 20556, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.896769 - msedgewebview2.exe, PID: 20644, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.896959 - msedgewebview2.exe, PID: 20708, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.897148 - msedgewebview2.exe, PID: 21068, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.902987 - svchost.exe, PID: 21276, User: None
